Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	11:53 2/3/2020	125
Lana	11:53 2/3/2020	131
Manas	11:53 2/3/2020	123
Mike	15:30 3/2/2020	110
TomH	15:31 3/2/2020	116
Manas	15:31 3/2/2020	162
Mike	15:31 3/2/2020	103
TomH	15:32 3/2/2020	142
Manas	15:32 3/2/2020	128
Jim	15:32 3/2/2020	150
Manas	15:32 3/2/2020	108
TomH	15:32 3/2/2020	117
Mike	15:36 3/2/2020	168
Tom	15:36 3/2/2020	156
Lana	15:36 3/2/2020	113
Jim	15:36 3/2/2020	145
Manas	15:36 3/2/2020	147
